P,Dec,Ra,run,field,camcol
0.9999998807907104,26.54278778172069,37.90352426523013,005934,0109,5
0.9999933242797852,28.02032903368609,38.81383772564568,005817,0140,5
0.9999913573265076,14.467825364353883,32.87225914040601,001043,0214,6
0.999959111213684,24.43449976350448,36.56076308718982,005934,0093,5
0.9999701976776124,24.869954088572555,36.882811891534345,005934,0096,5
0.9999997615814208,25.15379748122468,38.22269808645508,005934,0102,3
0.9987260699272156,24.486668279661984,38.67773995643924,005934,0099,1
0.9999974966049194,31.491493858897723,40.30120732918396,005934,0145,6
0.9999964237213136,29.288296412526588,41.01307394382753,005934,0134,2
0.9999995231628418,29.175705959953984,41.84429875009601,005817,0155,1
0.9999995827674866,13.84274178211331,119.986239482314,005061,0037,4
0.9999995231628418,27.159314212963075,113.66297936742228,002822,0035,4
0.9999996423721312,24.16537425092826,114.87773106847904,002830,0025,4
0.9999986886978148,26.35524202540262,116.67834776604612,002830,0044,5
1.0,24.985871977776743,117.30156400698507,002961,0016,5
0.9999938011169434,26.642906238961032,118.6755384527757,002830,0053,2
0.9999943971633912,24.748891622109667,118.6942335564082,002888,0058,2
0.9999998807907104,26.837591957594245,118.83993362360336,002830,0055,2
0.9999911785125732,15.728878041711814,116.44519806620548,004508,0018,4
0.9999984502792358,14.192538872537428,117.79326562784664,005045,0040,4
0.999999701976776,8.833040595469,116.84731617675575,005194,0019,4
0.9999980926513672,9.036485660173565,117.93746562945816,005182,0020,3
0.9999957084655762,9.701097777970595,118.07080443361218,005194,0029,5
0.9983409643173218,9.712328019745629,118.01054886594682,005194,0029,5
0.9999994039535522,9.224750074691514,126.21548528458209,006004,0068,3
1.0,25.788260949489825,127.0775662139804,003644,0115,3
0.9999971389770508,15.140721779356443,120.85235795632336,005037,0049,3
0.9999985694885254,25.486185189695664,127.4974508874137,003644,0116,2
0.9999624490737916,8.299995315873234,125.52473433367742,003631,0061,5
0.9999558329582214,9.130343504504363,130.03624030386996,004380,0100,4
0.999999225139618,9.340915478385982,132.67538354521204,003631,0109,4
0.999999225139618,8.895766321839638,132.2906231472126,003631,0106,3
0.9999999403953552,7.02721692935982,122.64173947974622,004380,0050,3
0.999985694885254,7.660584196041891,126.93764954615617,003631,0069,3
1.0,6.808441262893996,122.0574657369828,004380,0046,3
0.9999510049819946,6.927268928699182,123.7787878468317,003631,0048,3
0.959046483039856,7.065520483794125,123.7804743165692,003631,0048,3
0.999869465827942,5.178423472775402,129.13840486694065,003478,0085,2
0.9999931454658508,13.841548988452624,133.14078987534236,005183,0016,2
0.9999998807907104,9.232605665421332,123.88622331797882,005972,0056,5
0.9999997615814208,9.118419389450896,134.2732760718045,003830,0114,2
1.0,12.241855127554825,131.47497229872522,005935,0101,4
0.9999945163726808,5.358780629787864,121.1546299229241,003538,0021,3
0.9999992847442628,24.501789746847304,124.53465311892928,003635,0093,4
0.9999976754188538,25.728894343619764,120.01257704016332,003530,0021,5
0.9999759793281556,26.01479822794557,121.45160860911096,003462,0076,4
0.9999997615814208,27.41141902147719,121.88336918410025,002961,0047,2
1.0,25.83014348888825,122.3749250973894,003530,0032,2
0.9999920129776,25.319825183256228,123.42049118842108,003605,0097,3
0.9999997615814208,25.965498843574867,123.927374208491,003560,0107,4
0.9999997615814208,26.53558118168908,124.67044498854808,003560,0113,4
0.9999925494194032,26.046025184910988,125.78212079503405,003644,0110,5
0.9999983310699464,27.510417194550225,125.83099654807488,003606,0013,4
0.9999995231628418,24.017190514941948,126.40120009462328,004469,0106,4
0.9999936819076538,27.41939495701234,127.91972206021984,003644,0125,5
0.999999701976776,26.43002609308147,128.55634368251845,003635,0121,3
0.9999955892562866,25.117911042277782,129.7241880067162,003900,0053,3
0.9999004602432252,26.424750007671904,132.107967916875,003900,0070,3
0.9706932306289672,26.41327193762486,132.08399181935087,003900,0070,3
0.999996781349182,26.996686176371384,133.4358552860841,004469,0153,2
1.0,24.536359641094,134.79709232415678,004569,0159,4
0.9999077320098876,12.077786307731678,120.02619375475068,005080,0040,3
0.9836557507514954,12.063503240667702,120.1254622524208,005080,0040,3
0.9999992847442628,15.078632103483908,123.0099909054951,005071,0056,3
0.9987567663192748,14.97306682162924,127.15755613130372,005112,0115,2
0.9999992847442628,16.19215975380813,132.11578046066305,005137,0128,5
0.9999990463256836,12.372100176877463,134.0309457876616,005849,0117,2
1.0,13.05573721840042,134.30690560897202,005935,0120,4
0.9999998211860656,11.623293002133783,120.30416693414404,005794,0032,4
0.9999600648880004,11.074035416096452,120.71218845562343,005137,0047,3
0.9999985694885254,7.819061333672699,124.20099389089486,004380,0061,4
0.9999990463256836,9.208662079188583,128.1546038419157,006004,0081,2
0.9999991655349731,4.853956975633862,120.04678293096268,003630,0022,2
0.9999822378158568,3.8970599110901145,125.92072004883566,002986,0049,4
0.9999914765357972,4.945766282885326,131.5906650822401,002986,0087,5
0.99519681930542,6.902567413480534,120.58977629987868,004380,0036,4
0.9999997615814208,7.050201198300601,131.54782079906593,003630,0100,2
0.9999995231628418,13.121757755763502,137.7753912513446,005935,0142,2
0.9872773885726928,13.080267969534098,137.84582402262765,005935,0142,2
0.9999996423721312,27.56836668232539,144.4483150596853,004576,0213,3
1.0,24.131160778663727,146.6562448294178,005061,0219,3
0.999995768070221,14.583970358878291,137.22426557904933,005849,0141,5
0.9999992847442628,8.028746335584247,148.24529301143684,003518,0051,3
0.9999999403953552,7.789861806431961,148.25891003324003,003031,0188,3
0.9999997615814208,15.609055182396911,149.05394906084467,005935,0217,2
1.0,10.013035802190297,146.1542790057459,003630,0199,4
0.9998972415924072,8.909264624611852,146.46009537246402,003630,0200,1
0.998634159564972,8.935226469035054,146.55606286169393,003630,0200,1
0.9999955296516418,9.73468846666025,147.56281113959716,003538,0199,3
0.999976634979248,11.30187767029302,147.9157862558039,003631,0210,2
0.9999977946281432,10.544576619672153,136.35562061749317,003631,0134,5
0.999999225139618,10.26837827319459,140.1616678106291,003830,0154,2
0.9999173879623412,10.69614911549654,141.96704172044454,003631,0170,3
0.999998152256012,10.0993644588925,143.0857057658238,003630,0179,5
0.9999998211860656,11.346755887970708,140.38306498205003,003631,0161,5
0.9999836683273317,11.278939547415725,146.12640238598803,004344,0049,2
0.9999985694885254,12.579372794724213,146.3995571415454,004344,0052,5
0.9999706149101256,12.513104136886373,148.47298814611693,004344,0065,4
0.9999996423721312,9.604133735556996,148.68965614502494,003630,0215,2
0.9999998807907104,8.689012258369909,144.3585365293667,003630,0186,1
0.9999836683273317,6.473192110991597,136.82345276576106,003031,0112,3
0.9999420046806335,6.924354805952122,144.50265079161693,003031,0163,2
0.9999925494194032,6.087934373663515,144.82645804536932,003015,0205,4
0.9999997615814208,5.867988841861622,136.3022211065197,003031,0108,2
0.999999701976776,13.82024430341031,139.73162024468536,005312,0050,2
0.9497305154800416,13.616336779605078,140.4235138482646,005312,0054,1
0.9999984502792358,9.252495427294065,145.75747603825997,003630,0195,2
0.9999735355377196,10.19124760114537,136.23755856894863,003631,0133,4
0.9999994039535522,12.049867240861053,136.93383038046443,005972,0144,4
0.9999999403953552,12.009391383491886,137.34421145966567,005972,0146,4
0.9999905824661256,10.504286297864308,139.4372669213582,003830,0150,3
0.9980378746986388,10.058490092397925,146.0828269301705,003630,0198,4
0.9943694472312928,10.1015995351553,145.98376753119263,003630,0198,4
0.9999643564224244,4.889686987434215,145.71179808821364,003015,0211,1
0.9989557266235352,7.454385365716861,140.2791891706358,003478,0160,4
0.9999991655349731,7.364499929195417,140.36280013895316,003478,0160,4
1.0,15.82638202918507,148.21065589264958,005935,0212,3
0.999996781349182,13.780204805850762,149.5300486537238,006004,0224,2
0.9999853372573853,9.925345239462048,145.05511159599456,003630,0191,4
0.9999457597732544,10.905554731793256,149.11222191784032,003630,0219,5
0.9997503757476808,10.852032057281862,149.166810852101,003630,0219,5
0.9999998807907104,14.577438042158713,135.9875053477911,005815,0090,2
0.9999998807907104,14.714384162792925,139.23194169223058,005935,0154,5
1.0,14.161376389805197,139.87997685229735,005935,0157,3
0.9972786903381348,15.824095208901428,141.61494193586904,005183,0073,1
0.9698377847671508,15.702339590118426,141.69059603659124,005183,0073,1
0.9999995827674866,14.79117270469452,142.38756599870723,005312,0069,3
1.0,13.782987135927968,142.71583776426976,006004,0180,5
0.9999775290489196,13.913051552181454,143.54790564087364,005972,0189,5
0.9999996423721312,13.12135263916616,143.80065309879473,005972,0189,3
0.9999866485595704,12.971677574150828,144.4563004363201,006004,0190,2
0.9999998807907104,12.54646342400199,144.6032064994621,006004,0191,1
0.999994933605194,15.310561917881689,145.4945028921499,005935,0194,3
1.0,14.403820491914413,146.98456297417422,005972,0211,5
1.0,15.807071910953304,147.31224010066626,005935,0206,3
0.999999701976776,14.775906005051164,147.40877491420915,006004,0211,5
0.9999995231628418,25.312364152323333,135.93175192030262,004576,0160,5
0.9999977350234984,27.548368612980408,136.66092187709026,004508,0166,5
0.996440291404724,27.65884612172298,137.9400611814353,004508,0173,4
0.9999990463256836,27.531702559304996,138.76667177828162,004508,0177,3
0.9999995231628418,26.450618544637337,139.32082679443135,004569,0189,4
0.9999986290931702,25.60157507381843,139.8165957762455,004569,0190,2
0.999998152256012,27.05718358645649,143.89042931019097,004576,0209,2
0.9999979138374328,8.921613415456422,145.2757998370592,003538,0183,2
0.9999992847442628,9.044569356984375,144.19347957050937,003630,0185,2
0.9999855160713196,9.67321901904773,138.4981321028679,003631,0147,2
0.998526096343994,9.749958053863775,138.48763999674574,003631,0147,2
0.999991536140442,10.591043510603928,139.0960339739306,003631,0152,4
0.9999988079071044,9.173294016453164,139.12880650879046,003630,0152,4
0.9999986290931702,4.098623713446894,144.34799214376633,002126,0168,4
0.9999998211860656,3.981992051947582,146.8866998587723,002125,0188,4
0.9999951124191284,6.43551876436544,139.1725158567997,003478,0152,2
0.999997854232788,7.049235609475632,141.3244751627448,003031,0142,3
0.999987006187439,7.543826187436831,142.0471578817469,003031,0147,4
0.9999969005584716,7.135434630046124,146.67677907040928,003031,0178,2
0.9999970197677612,13.00651383955394,161.67346685089638,003631,0300,2
0.999944806098938,27.538466626707425,159.0692356577392,005061,0297,4
0.9999983310699464,6.804806278642649,153.99817291646133,003015,0266,4
0.9999992847442628,12.926959982625863,157.97505285329032,004344,0127,2
0.9999998807907104,8.048991877266305,165.7579339397841,002986,0315,6
0.9999988079071044,13.106756025380871,151.88835448711865,003631,0237,5
0.9999997615814208,23.863914888575447,151.49534824192253,005112,0279,4
0.9999960064888,11.555306614298509,150.42749051310983,004344,0077,1
0.9874277114868164,11.439643990156249,150.38768117392587,004344,0077,1
0.9999989867210388,12.363673958147372,150.51784751348742,004344,0078,3
0.9999999403953552,16.022944831685898,150.8880276190718,005935,0229,2
1.0,8.593579740453139,153.3842093417146,003031,0223,4
0.999964475631714,8.517088538042572,156.1478438634755,003031,0241,3
1.0,14.650682029124512,158.12932162329514,006004,0280,1
0.9999889731407166,9.274398661436669,160.03675044342367,003031,0267,4
1.0,8.149196169331843,164.40081214343795,003015,0336,6
0.9999984502792358,13.93384517510298,159.23577994676106,004344,0136,4
